classification,typeGroup,subType,name,selectionLabel,sourceRow,type,workType,contractId,accessLevel,category,department,vendor,group,fixedSla,slaVersion,remark,active
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Lease Agreement / สัญญาเช่า,Lease Agreement – Chan Kao | สัญญาเช่า – Chan Kao,Lease Agreement – Chan Kao | สัญญาเช่า – Chan Kao,21,Lease Agreement / สัญญาเช่า,Lease Agreement / สัญญาเช่า,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Business Development,T5-WBKK,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,20,2026-08-05-sla-config-updated1-v1,สัญญาเช่าทั่วไป,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,Lift Maintenance Service Agreement – Baan Turtle | สัญญาบริการบำรุงรักษาลิฟต์ – Baan Turtle,Lift Maintenance Service Agreement – Baan Turtle | สัญญาบริการบำรุงรักษาลิฟต์ – Baan Turtle,22,Service Agreement / สัญญาให้บริการ,Service Agreement / สัญญาให้บริการ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Operation,CIBES LIFT and FSQ,Service Agreement / สัญญาให้บริการ,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,Security Guard Service Agreement – BK Salon | สัญญาบริการรักษาความปลอดภัย – BK Salon,Security Guard Service Agreement – BK Salon | สัญญาบริการรักษาความปลอดภัย – BK Salon,23,Service Agreement / สัญญาให้บริการ,Service Agreement / สัญญาให้บริการ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Operation,LSS and FSQ,Service Agreement / สัญญาให้บริการ,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,Security Guard Service Agreement – Baan Turtle Phuket | สัญญาบริการรักษาความปลอดภัย – Baan Turtle Phuket,Security Guard Service Agreement – Baan Turtle Phuket | สัญญาบริการรักษาความปลอดภัย – Baan Turtle Phuket,24,Service Agreement / สัญญาให้บริการ,Service Agreement / สัญญาให้บริการ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Operation,PCS and Turtle 23,Service Agreement / สัญญาให้บริการ,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,Pest Control Service Agreement | สัญญาบริการกำจัดแมลงและสัตว์รบกวน,Pest Control Service Agreement | สัญญาบริการกำจัดแมลงและสัตว์รบกวน,25,Service Agreement / สัญญาให้บริการ,Service Agreement / สัญญาให้บริการ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Operation,Rentokil and Kon Talay Thai,Service Agreement / สัญญาให้บริการ,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,Messenger Service Agreement | สัญญาให้บริการพนักงานรับ–ส่งเอกสารและสิ่งของ,Messenger Service Agreement | สัญญาให้บริการพนักงานรับ–ส่งเอกสารและสิ่งของ,26,Service Agreement / สัญญาให้บริการ,Service Agreement / สัญญาให้บริการ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Administration,T23-SKOOTAR,Service Agreement / สัญญาให้บริการ,22,2026-08-05-sla-config-updated1-v1,บริการรับ–ส่งเอกสารและสิ่งของ,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Rental Agreement / สัญญาเช่าทั่วไป,Executive Car Rental Agreement – Managing Director | สัญญาเช่ารถยนต์สำหรับกรรมการผู้จัดการ,Executive Car Rental Agreement – Managing Director | สัญญาเช่ารถยนต์สำหรับกรรมการผู้จัดการ,27,Rental Agreement / สัญญาเช่าทั่วไป,Rental Agreement / สัญญาเช่าทั่วไป,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Administration,T23-KSERV,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,Executive Driver Service Agreement – Managing Director | สัญญาให้บริการพนักงานขับรถยนต์สำหรับกรรมการผู้จัดการ,Executive Driver Service Agreement – Managing Director | สัญญาให้บริการพนักงานขับรถยนต์สำหรับกรรมการผู้จัดการ,28,Service Agreement / สัญญาให้บริการ,Service Agreement / สัญญาให้บริการ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Administration,T23-KSERV,Service Agreement / สัญญาให้บริการ,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,Cleaning Service Agreement | สัญญาจ้างเหมาบริการทำความสะอาด,Cleaning Service Agreement | สัญญาจ้างเหมาบริการทำความสะอาด,29,Service Agreement / สัญญาให้บริการ,Service Agreement / สัญญาให้บริการ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Administration,T23-SCS / SMART CLEANING SOLUTION,Service Agreement / สัญญาให้บริการ,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Lease Agreement / สัญญาเช่า,Office Equipment Lease Agreement | สัญญาเช่าอุปกรณ์สำนักงาน,Office Equipment Lease Agreement | สัญญาเช่าอุปกรณ์สำนักงาน,30,Lease Agreement / สัญญาเช่า,Lease Agreement / สัญญาเช่า,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Legal,ยังไม่ระบุ,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,20,2026-08-05-sla-config-updated1-v1,—,Yes
